materialLabel	cause	relationship	outcome
titanium dioxide nanoparticle	rutile nanoparticle	negatively_correlates	toxicity
titanium dioxide nanoparticle	rutile nanoparticle	negatively_correlates	reactive oxygen species biosynthetic process
titanium dioxide nanoparticle	Embedding into nano-enabled paint formulation	negatively_correlates	genotoxicity
titanium dioxide nanoparticle	Embedding into nano-enabled paint formulation	negatively_correlates	Broncho alveolar Lavage
graphene oxide nanoparticle	duration	#N/A	viability
graphene oxide nanoparticle	duration	does_not_correlate	toxicity
graphene oxide nanoparticle	duration	negatively_correlates	mobility decreased AE
graphene oxide nanoparticle	duration	positively_correlates	mortality
zinc oxide nanoparticle	duration	positively_correlates	bleb assembly
zinc oxide nanoparticle	duration	positively_correlates	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	ultraviolet radiation	negatively_correlates	aspect ratio
graphene oxide nanoparticle	ultraviolet radiation	negatively_correlates	Epoxy-functionalization of a nanoparticle
graphene oxide nanoparticle	ultraviolet radiation	positively_correlates	Hydroxy-functionalization of a nanoparticle
TiO2@SiO2 nanocomposite	Ion leakage	positively_correlates	size
TiO2@SiO2 nanocomposite	Ion spilling	positively_correlates	size
graphene oxide nanoparticle	Epoxy-functionalization of a nanoparticle	negatively_correlates	toxicity
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	does_not_correlate	regulation of cytoskeleton organization
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	negatively_correlates	surface area
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	negatively_correlates	surface charge
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	negatively_correlates	aggregation
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	negatively_correlates	size
titanium dioxide nanoparticle	Nanoparticle material part consisting of a silica coat	negatively_correlates	autophagy
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	negatively_correlates	Electrostatic stability
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	positively_correlates	cytotoxicity
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	positively_correlates	hydrodynamic diameter
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	positively_correlates	necrosis AE
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	positively_correlates	autophagy
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	positively_correlates	negative regulation of cell cycle G1/S phase transition
titanium dioxide nanoparticle	Nanoparticle material part consisting of a silica coat	positively_correlates	Crystalline state stability
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	positively_correlates	Photocatalytic activity
TiO2@SiO2 nanocomposite	Nanoparticle material part consisting of a silica coat	positively_correlates	Steric hindrance
graphene oxide nanoparticle	Hydroxy-functionalization of a nanoparticle	negatively_correlates	toxicity
graphene oxide nanoparticle	Amino-functionalization of a nanoparticle	negatively_correlates	thromboembolism AE
titanium dioxide nanoparticle	Photocatalytic activity	negatively_correlates	Embedding into nano-enabled paint formulation
titanium dioxide nanoparticle	Photocatalytic activity	positively_correlates	toxicity
graphene oxide nanoparticle	reactive oxygen species biosynthetic process	#N/A	cytotoxicity
graphene oxide nanoparticle	reactive oxygen species biosynthetic process	#N/A	Oxidative stress
graphene oxide nanoparticle	cell type	correlates	import across plasma membrane
graphene oxide nanoparticle	cell type	negatively_correlates	toxicity
TiO2@SiO2 nanocomposite	organ quality	positively_correlates	dispersion
graphene oxide nanoparticle	HKC	does_not_correlate	phagocytosis
graphene oxide nanoparticle	Human kidney cell line	does_not_correlate	phagocytosis
graphene oxide nanoparticle	Mouse platelets	does_not_correlate	phagocytosis
titanium dioxide nanoparticle	Oxygen vacancies	positively_correlates	energy band gap
graphene oxide nanoparticle	MR-mediated phagocytic pathway	does_not_correlate	phagocytosis
graphene oxide nanoparticle	Mannose receptor-mediated phagocytic pathway	does_not_correlate	phagocytosis
graphene oxide nanoparticle	oxidation state	does_not_correlate	toxicity
graphene oxide nanoparticle	Fc-gamma receptor signaling pathway involved in phagocytosis	positively_correlates	phagocytosis
graphene oxide nanoparticle	negative regulation of cytoskeleton organization	negatively_correlates	import across plasma membrane
